名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,5709.98,1142.0,241755,2405.0,+5.02%
2,2327,國巨*,上市,被動元件,2153.42,430.68,317851,696.0,-0.43%
3,2454,聯發科,上市,半導體 / IC設計,1834.64,366.93,50177,3875.0,+14.99%
4,2408,南亞科,上市,半導體 / 記憶體,1572.5,314.5,380093,426.0,+7.71%
5,2303,聯電,上市,半導體 / 晶圓代工,1508.97,301.79,1101469,138.5,-3.82%
6,1303,南亞,上市,塑膠塑化 / 原料,1169.16,233.83,588117,197.0,-1.01%
7,0050,元大台灣50,上市,指數型 / ETF,1166.48,233.3,1152785,103.9,+3.74%
8,3037,欣興,上市,電子 / ABF載板,1098.47,219.69,131723,896.0,+12.85%
9,8046,南電,上市,電子 / ABF載板,1051.94,210.39,87681,1230.0,+6.96%
10,4958,臻鼎-KY,上市,電子 / PCB軟板,1006.92,201.38,195722,506.0,-2.88%
11,2308,台達電,上市,電子 / 電源綠能,992.72,198.54,54779,1880.0,+8.05%
12,2344,華邦電,上市,半導體 / 記憶體,923.67,184.73,577745,161.0,+3.87%
13,6182,合晶,上櫃,上櫃 / 矽晶圓,828.94,165.79,635840,126.5,+0.00%
14,3481,群創,上市,光電 / 面板製造,806.0,161.2,1546833,51.9,-1.33%
15,2317,鴻海,上市,代工 / AI伺服器,738.1,147.62,300632,257.5,+10.04%
16,3231,緯創,上市,電腦 / AI伺服器,717.09,143.42,439436,173.5,+24.82%
17,3711,日月光投控,上市,半導體 / 封測龍頭,701.01,140.2,111700,649.0,+5.70%
18,6274,台燿,上櫃,上櫃 / CCL銅箔基板,671.1,134.22,48878,1335.0,+0.00%
19,2383,台光電,上市,電子 / CCL銅箔基板,615.77,123.15,12990,5095.0,+13.35%
20,00631L,元大台灣50正2,上市,槓桿型 / ETF,610.77,122.15,1806174,35.07,+9.01%
